iter	Passed	Remaining
0	173	173682
1	196	97892
2	218	72482
3	236	58964
4	259	51546
5	282	46806
6	303	43055
7	328	40755
8	352	38787
9	369	36602
10	393	35393
11	404	33268
12	424	32236
13	441	31110
14	463	30434
15	486	29933
16	509	29450
17	532	29048
18	555	28689
19	578	28323
20	593	27659
21	616	27388
22	635	26977
23	659	26814
24	680	26540
25	700	26223
26	722	26026
27	743	25810
28	764	25606
29	785	25396
30	807	25246
31	828	25072
32	852	24980
33	875	24866
34	895	24697
35	916	24534
36	937	24404
37	960	24312
38	981	24190
39	1021	24511
40	1054	24657
41	1073	24490
42	1096	24396
43	1115	24242
44	1140	24201
45	1160	24064
46	1181	23951
47	1202	23851
48	1223	23747
49	1240	23571
50	1264	23522
51	1285	23431
52	1306	23346
53	1326	23233
54	1349	23181
55	1369	23087
56	1392	23034
57	1415	22984
58	1435	22901
59	1459	22868
60	1475	22711
61	1495	22618
62	1515	22541
63	1538	22504
64	1560	22441
65	1567	22187
66	1589	22135
67	1614	22122
68	1621	21876
69	1643	21832
70	1666	21801
71	1688	21759
72	1709	21712
73	1721	21536
74	1732	21371
75	1748	21255
76	1768	21196
77	1790	21160
78	1812	21130
79	1820	20933
80	1839	20866
81	1859	20822
82	1872	20692
83	1895	20664
84	1915	20622
85	1937	20589
86	1960	20573
87	1981	20539
88	2003	20505
89	2012	20349
90	2036	20343
91	2058	20317
92	2087	20360
93	2112	20359
94	2134	20331
95	2151	20262
96	2170	20207
97	2192	20176
98	2214	20153
99	2236	20125
100	2257	20091
101	2277	20047
102	2297	20004
103	2319	19981
104	2344	19988
105	2361	19917
106	2383	19892
107	2404	19858
108	2426	19836
109	2437	19725
110	2468	19770
111	2490	19744
112	2508	19693
113	2531	19673
114	2552	19641
115	2576	19636
116	2598	19611
117	2620	19589
118	2642	19564
119	2666	19551
120	2688	19527
121	2711	19516
122	2737	19515
123	2750	19428
124	2771	19400
125	2792	19369
126	2815	19350
127	2836	19323
128	2859	19309
129	2882	19291
130	2905	19272
131	2930	19267
132	2957	19277
133	2986	19301
134	3015	19319
135	3041	19320
136	3055	19245
137	3078	19228
138	3098	19194
139	3110	19107
140	3128	19062
141	3152	19049
142	3176	19037
143	3204	19049
144	3216	18968
145	3245	18984
146	3288	19083
147	3314	19079
148	3334	19045
149	3357	19024
150	3387	19044
151	3408	19013
152	3431	18997
153	3454	18975
154	3464	18889
155	3486	18863
156	3509	18845
157	3580	19078
158	3619	19144
159	3646	19144
160	3672	19139
161	3703	19158
162	3731	19163
163	3741	19072
164	3764	19048
165	3791	19049
166	3817	19040
167	3838	19011
168	3860	18982
169	3871	18904
170	3893	18873
171	3914	18843
172	3936	18816
173	3959	18797
174	3983	18779
175	4004	18747
176	4026	18722
177	4048	18696
178	4066	18650
179	4089	18629
180	4110	18597
181	4124	18536
182	4147	18514
183	4169	18491
184	4187	18446
185	4208	18415
186	4230	18392
187	4252	18367
188	4275	18345
189	4297	18321
190	4320	18301
191	4343	18277
192	4365	18254
193	4387	18229
194	4408	18197
195	4431	18176
196	4438	18093
197	4462	18074
198	4484	18049
199	4495	17981
200	4517	17958
201	4543	17949
202	4565	17925
203	4586	17897
204	4608	17871
205	4629	17842
206	4644	17794
207	4668	17775
208	4690	17752
209	4712	17726
210	4748	17756
211	4770	17732
212	4794	17713
213	4814	17684
214	4837	17660
215	4854	17618
216	4877	17598
217	4897	17568
218	4909	17509
219	4932	17486
220	4963	17497
221	4992	17495
222	5016	17478
223	5037	17450
224	5058	17423
225	5082	17407
226	5105	17386
227	5126	17357
228	5149	17338
229	5173	17318
230	5186	17264
231	5209	17245
232	5225	17201
233	5245	17170
234	5268	17152
235	5279	17090
236	5300	17065
237	5320	17035
238	5345	17020
239	5357	16964
240	5378	16939
241	5396	16902
242	5417	16876
243	5433	16835
244	5456	16813
245	5476	16785
246	5500	16768
247	5521	16743
248	5545	16724
249	5566	16698
250	5587	16674
251	5595	16609
252	5617	16585
253	5638	16560
254	5658	16532
255	5667	16470
256	5688	16444
257	5712	16430
258	5724	16376
259	5744	16348
260	5765	16324
261	5776	16270
262	5783	16206
263	5803	16179
264	5825	16157
265	5834	16098
266	5844	16045
267	5867	16025
268	5887	15999
269	5893	15934
270	5915	15912
271	5925	15859
272	5947	15838
273	5970	15819
274	5981	15770
275	5991	15717
276	6012	15694
277	6020	15635
278	6042	15615
279	6065	15596
280	6070	15532
281	6092	15512
282	6112	15487
283	6135	15469
284	6158	15450
285	6183	15438
286	6209	15426
287	6232	15406
288	6253	15383
289	6276	15365
290	6298	15344
291	6305	15289
292	6312	15232
293	6333	15209
294	6358	15196
295	6383	15183
296	6405	15162
297	6424	15134
298	6444	15109
299	6452	15056
300	6474	15036
301	6497	15017
302	6517	14993
303	6539	14971
304	6560	14948
305	6582	14928
306	6590	14875
307	6610	14851
308	6633	14833
309	6653	14810
310	6689	14820
311	6712	14801
312	6734	14781
313	6759	14767
314	6784	14753
315	6806	14732
316	6828	14712
317	6849	14689
318	6871	14668
319	6878	14616
320	6886	14567
321	6908	14547
322	6930	14525
323	6951	14504
324	6973	14483
325	6997	14467
326	7020	14448
327	7034	14412
328	7055	14389
329	7077	14369
330	7084	14319
331	7097	14279
332	7120	14262
333	7140	14239
334	7165	14223
335	7187	14203
336	7208	14182
337	7230	14162
338	7252	14142
339	7272	14116
340	7293	14095
341	7316	14076
342	7337	14055
343	7361	14038
344	7387	14025
345	7401	13990
346	7427	13977
347	7432	13925
348	7453	13903
349	7460	13855
350	7474	13820
351	7496	13801
352	7522	13788
353	7551	13780
354	7566	13746
355	7590	13732
356	7608	13704
357	7632	13687
358	7654	13667
359	7676	13647
360	7699	13629
361	7711	13591
362	7732	13569
363	7749	13541
364	7771	13520
365	7793	13499
366	7814	13478
367	7836	13459
368	7857	13436
369	7880	13417
370	7900	13395
371	7923	13376
372	7946	13358
373	7970	13340
374	7992	13321
375	8013	13299
376	8036	13280
377	8059	13262
378	8083	13244
379	8105	13224
380	8127	13204
381	8149	13183
382	8171	13163
383	8179	13121
384	8201	13101
385	8223	13081
386	8245	13060
387	8276	13054
388	8298	13034
389	8319	13012
390	8347	13000
391	8381	12999
392	8407	12984
393	8449	12996
394	8477	12985
395	8516	12989
396	8544	12978
397	8579	12976
398	8612	12972
399	8640	12960
400	8664	12942
401	8690	12928
402	8742	12951
403	8783	12958
404	8822	12961
405	8857	12959
406	8892	12956
407	8932	12960
408	8964	12953
409	8988	12933
410	9022	12930
411	9032	12891
412	9057	12873
413	9080	12852
414	9102	12831
415	9126	12812
416	9137	12774
417	9157	12750
418	9181	12731
419	9205	12712
420	9227	12690
421	9249	12668
422	9272	12648
423	9290	12620
424	9311	12598
425	9335	12578
426	9356	12555
427	9377	12532
428	9382	12488
429	9405	12467
430	9425	12444
431	9449	12423
432	9471	12402
433	9492	12378
434	9515	12359
435	9536	12336
436	9559	12315
437	9580	12292
438	9594	12260
439	9616	12239
440	9639	12218
441	9650	12183
442	9671	12159
443	9694	12140
444	9732	12138
445	9755	12117
446	9777	12095
447	9798	12072
448	9820	12051
449	9841	12028
450	9865	12008
451	9888	11988
452	9911	11968
453	9932	11945
454	9954	11923
455	9976	11902
456	9999	11881
457	10024	11863
458	10046	11841
459	10068	11819
460	10089	11796
461	10111	11774
462	10133	11753
463	10155	11731
464	10178	11710
465	10204	11693
466	10233	11680
467	10258	11661
468	10279	11638
469	10301	11616
470	10324	11595
471	10348	11576
472	10370	11554
473	10378	11516
474	10400	11495
475	10425	11477
476	10449	11456
477	10470	11434
478	10492	11412
479	10514	11390
480	10529	11361
481	10585	11376
482	10634	11383
483	10680	11386
484	10727	11390
485	10793	11415
486	10821	11398
487	10845	11378
488	10866	11355
489	10887	11332
490	10908	11308
491	10931	11286
492	10952	11263
493	10969	11236
494	10991	11213
495	11013	11190
496	11036	11169
497	11057	11146
498	11079	11124
499	11104	11104
500	11127	11082
501	11150	11061
502	11171	11038
503	11194	11016
